Local,Nombre,Precio,Cantidad
Metro,Tomate Italiano Metro,3.49, x kg
Metro,Mandarina Costa Metro,2.99, x kg
Metro,Cebolla Roja Metro,4.99, x kg
Metro,Zanahoria Especial,2.87, x kg
Metro,Zapallo Macre,2.55, x kg
Metro,Plátano Isla Metro,4.49, x kg
Metro,Apio,2.56, x Atado Cuisine & Co
Metro,Papaya Metro,4.23, x kg
Metro,Brócoli Metro,4.39, x kg
Metro,Tangelo sin Pepa Metro,2.79, x kg
Metro,Papa Amarilla Peruanita Procesada Metro,4.79, x kg
Metro,Papa Blanca,2.79, x kg
Metro,Papa Canchán Procesada Especial,3.03, x kg
Metro,Camote Amarillo Metro,2.15, x kg
Metro,Choclo Especial,3.20, x unid
Metro,Plátano de Seda Metro,2.49, x kg
Metro,Ají Amarillo,4.79, x kg
Metro,Pimiento Metro,12.79, x kg
Metro,Lechuga Americana Metro,1.99, x unid
Metro,Pepinillo,1.35, x un
Metro,Perejil,0.99, x atado
Metro,Lechuga Crespa Cuisine & Co ,1.99,320g
Metro,Fresa Americana Metro,7.99, x kg
Metro,Camote Morado Metro,2.39, x kg
Metro,Ajos sin Pelar,11.83, x kg
Metro,Piña Golden Metro,6.35, x kg
Metro,Melón Coquito Metro,2.87, x kg
Metro,Vainita Metro,2.95, x kg
Metro,Kión Metro,11.99, x kg
Metro,Arveja,6.79, x kg
Metro,Maracuyá Metro,4.59, x kg
Metro,Granadilla Especial,0.79, x unid
Metro,Piña para Jugo,1.99, x kg
Metro,Champiñones Enteros Paccu Bandeja ,5.44,200g
Metro,Espinaca,7.99, x kg
Metro,Beterraga,3.51, x atado
Metro,Manzana Royal Gala,6.95, x kg
Metro,Manzana Roja,7.49, x kg
Metro,Arándano Blueberry ,13.99,500 g
Metro,Palta Madura Cremosita,11.99, x kg
Metro,Espinaca Baby Ecologic ,6.10,150g
Metro,Espinaca Hidropónica de Invernadero Ecologic ,7.60,500g
Metro,Lechuga de Seda Hidropónica de Invernadero Ecologic,2.50, x unid
Metro,Chirimoya Metro,8.49, x kg
Metro,Plátano Bellaco,4.39, x kg
Metro,Olluco Metro,6.79, x kg
Metro,Manzana Rayada Metro,4.39, x kg
Metro,Mango Edward Metro,9.99, x kg
Metro,Cebolla Roja Campo Lindo,4.56, x kg
Metro,Lechuga Hidropónica Don Miguel,3.30, x unid
Metro,Poro,2.23, x un
Metro,Caigua,0.55, x un
Metro,Aguaymanto Fresco Pelado Emporio ,4.49,200g
Metro,Plátano de Seda Tipo Exportación,4.99, x kg
Metro,Kiwi,9.99, x kg
Metro,Champiñones Picados Paccu ,5.44,200g
Metro,Espárragos Atado ,6.39,250g
Metro,Mix de Lechuga Crespa Ecologic x 2 Unid,3.60,Mix
Metro,Papa Huayro Agro Selecto ,4.00,1Kg
Metro,Papa Huamantanga Agro Selecto ,4.24,1Kg
Metro,Cebolla Blanca Agro Selecto ,3.84,1Kg
Metro,Camote Morado Agro Selecto ,3.84,1Kg
Metro,Camote Amarillo Agro Selecto ,2.80,1Kg
Metro,Camote Amarillo Agro Selecto ,2.80,1Kg
Metro,Papa Canchán Procesada Agro Selecto ,3.44,1Kg
Metro,Lechuga Hoja de Roble Verde Hidropónica Ecologic,2.80, x unid
Metro,Lechuga Crespa Hidropónica de Invernadero Ecologic,3.10, x unid
Metro,Pimiento de Colores Ecologic ,9.60,3un
Metro,Papa Negra Andina Procesada Metro,3.35, x kg
Metro,Champiñones Enteros Metro Bandeja ,6.50,200g
Metro,Rocoto Metro,12.63, x kg
Metro,Mix para Emoliente,3.49,Mix
Metro,Pasas Morenas,21.60, x kg
Metro,Maíz Morado Campo Lindo,14.50, x kg
Metro,Cebolla Blanca Campo Lindo,5.52, x kg
Metro,Hierba Buena,0.99, x atado
Metro,Zapallito Italiano,2.79, x un
Metro,Coliflor,4.39, x un
Metro,Plátano Palillo,4.99, x kg
Metro,Verduras Picadas para Ensalada Mixta Cuisine & Co ,11.90,600g
Metro,Verduras Picadas para Menestrón Cuisine & Co ,12.30,700g
Metro,Apio en Bastones Ecologic ,3.20,200 g
Metro,Papa Yungay Agro Selecto ,3.20,1Kg
Metro,Papa Negra Andina Agro Selecto ,4.00,1Kg
Metro,Cebolla Roja Agro Selecto ,3.76,1Kg
Metro,Cebolla Roja Agro Selecto ,7.36,2Kg
Metro,Acelga ,4.80,500 g
Metro,Lechuga Roja Hidropónica de Invernadero Ecologic,2.80, x unid
Metro,Pepino Holandés Hidropónico de Invernadero Ecologic,3.52, x unid
Metro,Holantao Metro,9.99, x kg
Metro,Lima Metro,6.15, x kg
Metro,Papa Amarilla Tumbay Especial Metro,5.11, x kg
Metro,Membrillo,9.19, x kg
Metro,Uva Red Globe Metro,8.49, x kg
Metro,Carambola,6.99, x kg
Metro,Manzana Delicia Extra,3.43, x kg
Metro,Lechuga Hidropónica,3.19, x un
Metro,Ajos Pelados Mr. Ajo ,7.83,250g
Metro,Frijol Chino,5.49, x kg
Metro,Granadilla Tipo Exportación ,5.99,4un.
Metro,Verduras Chinas Picadas Cuisine & Co ,8.80,350g
Metro,Choclo Desgranado Cuisine & Co ,9.00,450g
Metro,Verduras Picadas para Sopa de Verduras Cuisine & Co ,8.00,300g
Metro,Verduras Picadas para Sopa de Verduras Cuisine & Co ,11.30,600g
Metro,Verduras Picadas para Sopa Mixta Cuisine & Co ,11.30,600g
Metro,Verduras Picadas para Arroz con Pollo Cuisine & Co ,9.40,200g
Metro,Papa Blanca Yungay Agro Selecto ,6.32,2kg
Metro,Camote Amarillo Agro Selecto Ready ,3.04,800g
Metro,Hierba buena Fresca Bandeja ,3.30,30 g
Metro,Ensalada Parrillera Ecologic,4.40, x 400 g
Metro,Ciruelillo ,4.99,600g
Metro,Ajos Picados Mr.Ajo Pote ,8.79,250 g
Metro,Papa Canchán Procesada Agro Selecto ,6.64,2Kg
Metro,Mix Plus Ecologic 250 g,5.80,Mix
Metro,Tomate Saladette Hidropónico de Invernadero Ecologic Bolsa,7.60,1 unidad
Metro,Lechuga Romana Hidropónica de Invernadero Ecologic,4.20, x unid
Metro,Pepinillo Pickles Hidropónico de Invernadero Ecologic Bandeja ,4.32,300g
Metro,Tomate Cherry Baby Hidropónico de Invernadero Ecologic Bandeja ,5.92,300g
Metro,Zanahoria Baby Hidropónica de Invernadero Ecologic Bandeja ,4.96,250g
Metro,Rabanito Baby Hidropónico de Invernadero Ecologic Bandeja ,4.96,250g
Metro,Alcachofa con Espinas Metro,3.43, x unid
Metro,Maní Frito Salado,25.60, x kg
Metro,Ají Panca Despepitado Naturandes Bandeja ,8.00,100g
Metro,Lechuga Cultivada con Agua de Pozo La Caserita,3.30,1 unidad
Metro,Lechuga de Invernadero Oakleaf Don Miguel,6.60,1 unidad
Metro,Media Col China,5.69,1 unidad
Metro,Verduras Picadas para Sopa Mixta Cuisine & Co ,8.20,300g
Metro,Habas Picadas Cuisine & Co ,7.50,200g
Metro,Arvejas Picadas Cuisine & Co ,12.50,200g
Metro,Vainitas Picadas Cuisine & Co ,10.00,500g
Metro,Verduras Picadas para Estofado de Carne Cuisine & Co ,9.40,200g
Metro,Bebida de Chicha Morada Golden Botella ,4.90,485ml
Metro,Papa Tricolor Cocktail Agro Selecto ,7.04,800 g
Metro,Zanahoria Justo al Día ,4.16,700g
Metro,Papa Peruanita Agro Selecto ,7.04,1kg
Metro,Toronja Rubí Metro,5.59, x kg
Metro,Mixtura de Frutas x kg,36.00,Mix
Metro,Media Col Morada,4.79, x un
Metro,Mix de Lechuga Cuisine & Co 200g,5.40,Mix
Metro,Pulpa de Ciruela Agroselva ,8.60,250g
Metro,Verduras Picadas para Sopa Chake Cuisine & Co ,8.70,350g
Metro,Verduras Picadas para Menestrón Cuisine & Co ,8.70,300g
Metro,Verduras Picadas para Ensalada Sancochado Cuisine & Co ,10.40,800g
Metro,Verduras Picadas para Sopa Andina Cuisine & Co ,11.50,700g
Metro,Verduras Picadas para Ensalada de Brócolo Cuisine & Co ,9.40,500g
Metro,Néctar Tropical Bajo en Calorías Ecofresh Galón ,35.90,3.8L
Metro,Néctar de Naranja Bajo en Calorías Ecofresh Galón ,35.90,3.8L
Metro,Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella ,19.90,1.8L
Metro,Néctar de Naranja con Zanahoria Bajo en Calorías Ecofresh ,19.90,1.8L
Metro,Néctar Tropical Bajo en Calorías Ecofresh Botella ,19.90,1.8L
Metro,Néctar de Naranja Bajo en Calorías Ecofresh Botella ,19.90,1.8L
Metro,Néctar de Fresa con Naranja Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Naranja con Zanahoria Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Mandarina Bajo en Calorías Ecofresh Botella ,14.90,1L
Metro,Néctar de Piña Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Naranja Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Cebolla Blanca Agro Selecto ,7.52,2kg
Metro,Papaya en Trozos Natifrut ,4.99,180g
Metro,Berengena Hidropónica Ecológica,3.52, x Unidad
Metro,Mix Col y Zanahoria Ecologic 250 g,7.40,Mix
Metro,Zanahoria Rayada Ecologic ,5.04,300 g
Metro,Mix Nuts Premium x kg,60.00,Mix
Metro,Dátiles Deshidratados ,9.59,200g
Metro,Bebida de Piña y Granadilla Golden Botella ,4.50,485ml
Metro,Pulpa de Kiwi Agroselva,12.20,1 unidad
Metro,Lechuga Crespa Hidropónica Manantiales,3.40, x unid
Metro,Ajo Picado Mr. Ajo Bandeja ,8.29,150 g
Metro,Ajos Enteros Justo al Día ,10.32,700g
Metro,Rocoto Justo al Día ,13.28,700g
Metro,Ají Amarillo Justo al Día ,6.24,700g
Metro,Arúgula Silvestre Ecologic ,6.40,150 g
Metro,Papa Blanca Perricholi Procesada Agro Selecto,7.04,1 unidad
Metro,Puntas de Espárragos Paquete ,9.99,250 g
Metro,Pula de Fresa Agroselva Doypack 250g,9.20,Pack
Metro,Dátiles Medjool El Dátil ,21.00,300g
Metro,Agua de Piña con Arándanos Light Golden ,5.80,485ml
Metro,Sopa de Verduras Don Verde ,5.20,250g
Metro,Pulpa de Tuna Agroselva Doypack 250g,9.20,Pack
Metro,Toronja sin Pepa Metro,5.51, x kg
Metro,Mezcla para Preparar Chicha Morada Campo Lindo ,10.20,250g
Metro,Maíz Morado Campo Lindo ,18.20,1kg
Metro,Maní Tostado en Cáscara El Guaranguito Bolsa ,6.49,250 gr
Metro,Jugo de Naranja Pasteurizada Ecofresh Botella ,19.90,1.8L
Metro,Maní con Pasas,24.00, x kg
Metro,Pulpa de Arándanos Agroselva Doypack 250g,9.49,Pack
Metro,Pulpa de Melocotón Agroselva Doypack 250g,9.20,Pack
Metro,Pulpa de Granada Agroselva Doypack 250g,12.20,Pack
Metro,Pulpa de Guanábana Agroselva Doypack 250g,12.20,Pack
Metro,Pulpa de Tamarindo Agroselva Doypack 250g,9.20,Pack
Metro,Dátiles Frescos El Dátil Bandeja ,9.99,150 gr
Metro,Mix de Germinados Age Bandeja 100g,10.96,Mix
Metro,Ajos Pelados Mr. Ajo Bandeja ,5.83,150g
Metro,Ají Mirasol Despepitado Naturandes Bandeja ,8.00,100g
Metro,Acelga Don Miguel ,4.90,300g
Metro,Zapallo Loche,19.20, x kg
Metro,Huevos Pardos Metro ,9.50,15un
Metro,Pollo Entero Fresco Metro,10.25, x kg
Metro,Huevos Pardos Metro Bandeja ,18.99,30 Unid
Metro,Huevos Clásicos Pardos La Calera ,21.20,30un
Metro,Pollo con Menudencia Trozado Metro,10.39, x kg
Metro,Pechuga Especial de Pollo,17.75, x kg
Metro,Bisteck Bola de Lomo Nacional,39.90, x kg
Metro,Filete de Tilapia Umi Foods ,21.20,1kg
Metro,Filete de Pechuga de Pollo,25.79, x kg
Metro,Guiso de Cerdo,26.90, x kg
Metro,Nuggets de Pechuga de Pollo Redondos ,5.45,12un
Metro,Costillar Nacional,15.90, x kg
Metro,Chuleta Parrillera de Cerdo con Piel,16.90, x kg
